Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
1871,Red Stockings,101.57378911972046,103.26944589614868,100.4957914352417,,,,,,,,,,,
1871,White Stockings,101.33383274078369,102.22306251525879,102.22306251525879,,,,,,,,,,,
1872,Red Stockings,101.61082744598389,103.3487319946289,98.8122820854187,,,,,,,,,,,
1873,Red Stockings,101.57378911972046,103.41953039169312,106.00858926773071,,,,,,,,,,,
1874,Red Stockings,100.21889209747314,101.93935632705688,103.43343019485474,,,,,,,,,,,
1874,White Stockings,104.4460654258728,106.17585182189941,95.4494059085846,,,,,,,,,,,
1875,Red Stockings,100.55090188980103,98.36656451225281,95.30660510063171,,,,,,,,,,,
1875,White Stockings,104.71595525741577,106.55970573425293,107.3735237121582,,,,,,,,,,,
1876,Red Caps,99.36835765838623,97.11297750473022,96.2043821811676,,,,,,,,,,,
1876,White Stockings,104.4460654258728,108.88432264328003,118.55480670928955,,,,,,,,,,,
1877,Red Caps,99.11091327667236,99.91933703422546,103.07501554489136,,,,,,,,,,,
1877,White Stockings,104.21452522277832,108.39025974273682,100.87265968322754,,,,,,,,,,,
1878,Red Caps,99.46070909500122,102.95695066452026,101.7241358757019,,,,,,,,,,,
1878,White Stockings,102.80526876449585,104.23232316970825,108.74996185302734,,,,,,,,,,,
1879,Red Caps,98.51186871528625,99.36261177062988,103.56738567352295,,,,,,,,,,,
1879,White Stockings,102.95474529266357,104.46282625198364,103.55570316314697,,,,,,,,,,,
1880,Red Caps,98.33768010139465,96.29967212677002,93.9130425453186,,,,,,,,,,,
1880,White Stockings,102.95474529266357,103.59323024749756,100.92837810516357,,,,,,,,,,,
1881,Red Caps,98.66916537284851,95.57979106903076,91.0604178905487,,,,,,,,,,,
1881,White Stockings,102.95474529266357,101.66244506835938,106.2517762184143,,,,,,,,,,,
1882,Alleghenys,99.5193362236023,99.39917325973511,99.83686804771423,,,,,,,,,,,
1882,Brown Stockings,101.77017450332642,104.94589805603027,102.95960903167725,,,,,,,,,,,
1882,Red Caps,96.72569632530212,98.44614863395691,101.46663188934326,,,,,,,,,,,
1882,Red Stockings,99.82285499572754,99.7469425201416,100.57114362716675,,,,,,,,,,,
1882,White Stockings,102.95474529266357,101.66244506835938,97.81169295310974,,,,,,,,,,,
1883,Alleghenys,99.49560761451721,99.3695080280304,98.41066002845764,,,,,,,,,,,
1883,Beaneaters,96.9691514968872,98.40347170829773,101.26200914382935,,,,,,,,,,,
1883,Browns,101.86234712600708,105.21899461746216,103.09734344482422,,,,,,,,,,,
1883,Gothams,98.54499101638794,101.38101577758789,100.15844106674194,,,,,,,,,,,
1883,Quakers,97.69952297210693,98.41355681419373,98.60830903053284,,,,,,,,,,,
1883,Red Stockings,99.81404542922974,99.73435401916504,99.28262233734131,,,,,,,,,,,
1883,White Stockings,105.68766593933105,108.12523365020752,108.22173357009888,,,,,,,,,,,
1884,Alleghenys,99.46826100349426,99.33533072471619,100.03867149353027,,,,,,,,,,,
1884,Atlantics,100.24373531341553,101.20621919631958,98.96671772003174,,,,,,,,,,,
1884,Beaneaters,97.89922833442688,96.68874144554138,93.2878315448761,,,,,,,,,,,
1884,Browns,101.96914672851562,99.3890106678009,108.82192850112915,,,,,,,,,,,
1884,Gothams,98.54499101638794,101.38101577758789,97.5269615650177,,,,,,,,,,,
1884,Quakers,97.69952297210693,98.41355681419373,96.94703221321106,,,,,,,,,,,
1884,Red Stockings,101.26551389694214,100.61584711074829,104.19893264770508,,,,,,,,,,,
1884,White Stockings,105.68766593933105,108.12523365020752,108.02551507949829,,,,,,,,,,,
1885,Alleghenys,93.8685953617096,94.51376795768738,105.78467845916748,,,,,,,,,,,
1885,Beaneaters,97.61483073234558,95.66531777381897,95.74154615402222,,,,,,,,,,,
1885,Browns,102.86276340484619,101.49180889129639,88.86299133300781,,,,,,,,,,,
1885,Giants,98.54499101638794,96.00244760513306,109.29327011108398,,,,,,,,,,,
1885,Grays,100.2309799194336,101.14195346832275,104.03774976730347,,,,,,,,,,,
1885,Quakers,97.69952297210693,97.03431129455566,99.76335167884827,,,,,,,,,,,
1885,Red Stockings,101.19785070419312,100.58339834213257,101.47403478622437,,,,,,,,,,,
1885,White Stockings,107.27239847183228,111.97439432144165,108.00347328186035,,,,,,,,,,,
1886,Alleghenys,93.8685953617096,94.51376795768738,89.38339352607727,,,,,,,,,,,
1886,Beaneaters,97.61483073234558,97.38317131996155,97.78233170509338,,,,,,,,,,,
1886,Browns,102.73982286453247,101.84513330459595,107.11818933486938,,,,,,,,,,,
1886,Giants,96.57896757125854,98.23382496833801,86.0477864742279,,,,,,,,,,,
1886,Grays,100.2309799194336,100.25475025177002,100.19973516464233,,,,,,,,,,,
1886,Quakers,97.69952297210693,97.03431129455566,94.8445200920105,,,,,,,,,,,
1886,Red Stockings,101.19785070419312,101.76243782043457,97.72125482559204,,,,,,,,,,,
1886,White Stockings,107.27239847183228,111.97439432144165,112.86070346832275,,,,,,,,,,,
1887,Alleghenys,93.8685953617096,91.56329035758972,92.11611151695251,,,,,,,,,,,
1887,Beaneaters,97.61483073234558,97.38317131996155,99.06919002532959,,,,,,,,,,,
1887,Browns,102.98130512237549,105.47295808792114,105.78360557556152,,,,,,,,,,,
1887,Giants,96.57896757125854,92.8784966468811,103.62789630889893,,,,,,,,,,,
1887,Grays,100.2309799194336,99.42322969436646,97.45009541511536,,,,,,,,,,,
1887,Quakers,101.71122550964355,102.44824886322021,95.97213864326477,,,,,,,,,,,
1887,Red Stockings,101.18039846420288,100.52889585494995,106.64346218109131,,,,,,,,,,,
1887,White Stockings,107.27239847183228,111.78735494613647,114.57778215408325,,,,,,,,,,,
1888,Alleghenys,91.42518043518066,91.56511425971985,93.08476448059082,,,,,,,,,,,
1888,Beaneaters,105.2899718284607,103.38355302810669,105.7237982749939,,,,,,,,,,,
1888,Bridegrooms,100.2309799194336,99.42322969436646,101.29437446594238,,,,,,,,,,,
1888,Browns,107.03390836715698,105.8323860168457,105.83459138870239,,,,,,,,,,,
1888,Giants,96.57896757125854,92.8784966468811,88.55449557304382,,,,,,,,,,,
1888,Quakers,101.71122550964355,102.44824886322021,110.8041524887085,,,,,,,,,,,
1888,Red Stockings,101.70533657073975,102.83797979354858,99.44636225700378,,,,,,,,,,,
1888,White Stockings,107.04638957977295,106.65625333786011,107.80150890350342,,,,,,,,,,,
1889,Alleghenys,91.42518043518066,90.33387303352356,89.43437337875366,,,,,,,,,,,
1889,Beaneaters,105.2899718284607,103.38355302810669,98.29293489456177,,,,,,,,,,,
1889,Bridegrooms,96.46211266517639,94.94587182998657,92.22082495689392,,,,,,,,,,,
1889,Browns,107.88888931274414,109.00895595550537,108.45497846603394,,,,,,,,,,,
1889,Giants,98.9043116569519,98.43473434448242,102.70966291427612,,,,,,,,,,,
1889,Quakers,101.71122550964355,107.64111280441284,104.23109531402588,,,,,,,,,,,
1889,Red Stockings,100.93295574188232,102.33694314956665,103.32506895065308,,,,,,,,,,,
1889,White Stockings,107.04638957977295,104.28816080093384,99.49613809585571,,,,,,,,,,,
1890,Alleghenys,91.42518043518066,90.33387303352356,94.90792751312256,,,,,,,,,,,
1890,Beaneaters,105.2899718284607,104.50931787490845,106.75678253173828,,,,,,,,,,,
1890,Bridegrooms,96.46211266517639,94.94587182998657,98.44057559967041,,,,,,,,,,,
1890,Browns,106.44141435623169,111.91036701202393,114.95347023010254,,,,,,,,,,,
1890,Colts,107.04638957977295,104.28816080093384,106.92455768585205,,,,,,,,,,,
1890,Giants,98.9043116569519,98.43473434448242,93.9359724521637,,,,,,,,,,,
1890,Phillies,103.2611608505249,102.03429460525513,107.2364330291748,,,,,,,,,,,
1890,Reds,100.15650987625122,99.88226294517517,105.2039384841919,,,,,,,,,,,
1891,Beaneaters,104.17490005493164,108.5958480834961,108.83908271789551,,,,,,,,,,,
